first_name,middle_name,last_name,county,address_1,address_2,city,state,zip_code,zip_plus_four
SCOTT,,HAROLD,MULTNOMAH,1962 NW EVERETT ST 4,,PORTLAND,OR,97209,1919
AIMERANCE,,BETH,MULTNOMAH,627 NW 18TH AVE BOX H12,,PORTLAND,OR,97209,
GLENN,,KAYLIE,MULTNOMAH,25 NW 23RD PL STE 6 PMB 333,,PORTLAND,OR,97210,
MARIE,,ANNA,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
ANTHONY,,EVERETT,MULTNOMAH,PMB 430,25 NW 23RD PL SUITE 6,PORTLAND,OR,97210,
MELVIN,,JEFFREY,MULTNOMAH,627 NW 18TH AVE W4,,PORTLAND,OR,97209,
WILLIAM,,SUNSHINE,MULTNOMAH,627 NW 18TH AVE P8,,PORTLAND,OR,97209,
ANNETTE,,HALEY,MULTNOMAH,2445 NW WESTOVER RD 406,,PORTLAND,OR,97210,
JENNIFER,,KATIE,MULTNOMAH,2445 NW WESTOVER RD 418,,PORTLAND,OR,97210,
ALEXANDRA,,DANIELLE,MULTNOMAH,2268 NW HOYT ST LOWER,,PORTLAND,OR,97210,
BRITTANY,,TERRELL,MULTNOMAH,422 NW 13TH AVE APT 822,,PORTLAND,OR,97209,
MICHAEL,,KRISTEN,MULTNOMAH,31 NW 22ND PL 24,,PORTLAND,OR,97210,
EVAN,,ERIC,MULTNOMAH,627 NW 18TH AVE  B-53,,PORTLAND,OR,97209,2221
KAREN,,WILLIAM,MULTNOMAH,9428 SW 51ST AVE,,PORTLAND,OR,97219,5104
KIRK,,JOHN,MULTNOMAH,35 NW 20TH PL,,PORTLAND,OR,97209,
CLINTON,,SCOTT,MULTNOMAH,2445 NW WESTOVER RD 406,,PORTLAND,OR,97210,
VICTOR,,NICK,MULTNOMAH,1957 W BURNSIDE ST PMB 1926,,PORTLAND,OR,97209,
PAUL,,RACHEL,MULTNOMAH,627 NW 18TH AVE APT N8,,PORTLAND,OR,97209,2221
FILIBERTO,,STEPHANIE,MULTNOMAH,2148 NW FLANDERS ST,,PORTLAND,OR,97210,
DAVID,,JOY,MULTNOMAH,111 W BURNSIDE ST,,PORTLAND,OR,97209,
CHOI,,ANDREW,MULTNOMAH,25 NW 23RD PL PMB 294,,PORTLAND,OR,97210,
LEONARD,,ERNEST,MULTNOMAH,1535 NE 86TH AVE,,PORTLAND,OR,97220,
LOYAL,,STEPHEN,MULTNOMAH,325 NW 18TH AVE 208,,PORTLAND,OR,97209,
GRETCHEN,,STEVEN,MULTNOMAH,335 NW 19TH AVE 1210,,PORTLAND,OR,97209,
MICHAEL,,CHRISTINE,MULTNOMAH,25 NW 23RD PL,,PORTLAND,OR,97210,5580
PENELOPE,,JENNIFER,MULTNOMAH,2445 NW WESTOVER RD 214,,PORTLAND,OR,97210,
CHEYLANE,,GREGORY,MULTNOMAH,5826 N INTERSTATE AVE APT 406,,PORTLAND,OR,97217,
THOMAS,,INGRID,MULTNOMAH,2041 NW EVERETT ST 502,,PORTLAND,OR,97209,
BENJAMIN,,TANNER,MULTNOMAH,BOX  W30,627 NW 18TH AVE,PORTLAND,OR,97209,
DORIAN,,MELANIE,MULTNOMAH,PO BOX 13003,,PORTLAND,OR,97213,
NATHAN,,STEVEN,MULTNOMAH,818 SW 3RD AVE BOX 1401,,PORTLAND,OR,97204,
LOUIS,,JAMES,MULTNOMAH,625 SW BROADWAY STE 200,,PORTLAND,OR,97205,
LAURIE,,NGHIA,MULTNOMAH,25 NW 23RD PL STE 6 PMB 279,,PORTLAND,OR,97210,
STANLEY,,DAVID,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
DAVID,,SARAH,MULTNOMAH,388 NW 6TH AVE,,PORTLAND,OR,97209,
DANA,,THOMAS,MULTNOMAH,818 SW 3RD AVE 221-1809,,PORTLAND,OR,97204,
BRIAN,,RY,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97204,
JUDITH,,SUSAN,MULTNOMAH,1019 SW 10TH AVE 205,,PORTLAND,OR,97205,
TERESA,,KEVIN,MULTNOMAH,650 NW IRVING,BUD CLARK COMMONS-APTS AT 655 NW HOYT,PORTLAND,OR,97209,
ALAN,,JOSEPH,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
ANNA,,CLAYTON,MULTNOMAH,2211 SW PARK PL 402,,PORTLAND,OR,97205,
CYNTHIA,,RENE,MULTNOMAH,1604 SW CLAY ST 000,,PORTLAND,OR,97201,
GILLIAN,,KIRBY,MULTNOMAH,515 NW SALTZMAN RD 684,,PORTLAND,OR,97229,
AARON,,JESSE,MULTNOMAH,422 NW 13TH AVE  201,,PORTLAND,OR,97209,2930
VISHAL,,MITCHELL,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,
DANIEL,,HILARY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
KENNAN,,EVANS,MULTNOMAH,2000 NE 42ND AVE STE D PMB 214,,PORTLAND,OR,97213,
ROBERT,,AMMAR,MULTNOMAH,22 SW HAMILTON CT,,PORTLAND,OR,97239,
WALEESKA,,ALIX,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
SEAN,,VICTORIA,MULTNOMAH,655 NW HOYT ST,,PORTLAND,OR,97209,
PATRICIA,,MOE,MULTNOMAH,665 NW HOYT ST,,PORTLAND,OR,97209,
BRYAN,,DUANE,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
VALERIE,,HARRIET,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
SUSAN,,BRENNAN,MULTNOMAH,1604 SW CLAY ST 12208846,,PORTLAND,OR,97201,
STEVEN,,STEVEN,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
MADISON,,RALEIGH,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,2495
ARTHUR,,JONAS,MULTNOMAH,4095 NW COLUMBIA AVE,,PORTLAND,OR,97229,
MOIRA,,CHEYENNE,MULTNOMAH,655 NW HOYT ST 607,,PORTLAND,OR,97209,
ALIX,,SUNIL,MULTNOMAH,338 NW 6TH AVE,,PORTLAND,OR,97209,
MICHAEL,,JORIE,MULTNOMAH,1819 SW 5TH AVE UNIT 199,,PORTLAND,OR,97201,
REENA,,MICHELLE,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,
CLIFFORD,,MICHELLE,MULTNOMAH,50 SE 13TH AVENUE APT 107,,PORTLAND,OR,97214,
KATHERINE,,THOMAS,MULTNOMAH,1329 SW 14TH AVE 306,,PORTLAND,OR,97201,
MARILYN,,SHIRLEY,MULTNOMAH,1019 SW 10TH AVE 402,,PORTLAND,OR,97205,
JOHNNY,,JASON,MULTNOMAH,3714 NE CLEVELAND ST,,PORTLAND,OR,97212,
JASON,,JESSIE,MULTNOMAH,901 SW KING AVE 512,,PORTLAND,OR,97205,
CHRISTINA,,DYLAN,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
MICHAEL,,MARIE,MULTNOMAH,111 W BURNSIDE ST,,PORTLAND,OR,97209,4007
JEFFREY,,STEPHANIE,MULTNOMAH,33 NW BROADWAY,,PORTLAND,OR,97209,
RYAN,,MIKE,MULTNOMAH,818 SW 3RD AVE PMB 221 1809,,PORTLAND,OR,97204,
MARTY,,YOUNG,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
ZETTA,,CHRISTOPHER,MULTNOMAH,1430 SW BROADWAY STE 200,,PORTLAND,OR,97201,
DENISE,,GIOVANNI,MULTNOMAH,16141 E BURNSIDE ST,,PORTLAND,OR,97233,
CYNTHIA,,ROBERTA,MULTNOMAH,8316 N LOMBARD ST  405,,PORTLAND,OR,97203,3727
SHIRLEY,,KOUROSH,MULTNOMAH,6663 SW BEAVERTON HILLSDALE HWY #143,,PORTLAND,OR,97225,
REUEL,,KELLY,MULTNOMAH,12807 SE COOPER ST,,PORTLAND,OR,97236,
EARL,,TYSEN,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
KEVIN,,SEAN,MULTNOMAH,1955 SE LOCUST AVE,,PORTLAND,OR,97214,
SUZIE,,ANNE,MULTNOMAH,310 NW FLANDERS ST,,PORTLAND,OR,97209,3941
PAUL,,MARK,MULTNOMAH,127 SW BROADWAY 0000,,PORTLAND,OR,97205,
BARBARA,,BONNIE,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,
GABRIELA,,STEVEN,MULTNOMAH,1631 NE BROADWAY ST PMB 312,,PORTLAND,OR,97232,
NICK,,JOHN,MULTNOMAH,5102 SW SCHOLLS FERRY RD APT F102,,PORTLAND,OR,97225,
ELGIN,,LAUREN,MULTNOMAH,1000 SW VISTA AVE 814,,PORTLAND,OR,97205,
ROBERT,,LYDIA,MULTNOMAH,2400 SW PARK PL REAR,,PORTLAND,OR,97205,
CHRISTIAN,,ALFRETA,MULTNOMAH,1037 NW 20TH AVE APT 107,,PORTLAND,OR,97209,
VISHAL,,DEBRA,MULTNOMAH,309 SW 4TH AVE APT 316,,PORTLAND,OR,97204,2300
NISSA,,ZOE,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
MICHELLE,,GRETCHEN,MULTNOMAH,5355 SE BYBEE BLVD,,PORTLAND,OR,97206,
Q,,GEORGE,MULTNOMAH,11824 NE AINSWORTH CIR STE B,,PORTLAND,OR,97220,
DAVID,,MURILLO,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97203,
JAMES,,LINDA,MULTNOMAH,8832 N SYRACUSE ST APT 612,,PORTLAND,OR,97203,
JOSHUA,,JOANNE,MULTNOMAH,1327 SE TACOMA ST APT 205,,PORTLAND,OR,97202,6639
CHRISTINA,,LISA,MULTNOMAH,309 SW 4TH AVE APT 209,,PORTLAND,OR,97204,2319
SANTO,,RONALD,MULTNOMAH,5028 NE 13TH AVE,,PORTLAND,OR,97211,
NICHOLAS,,SHANDEEN,MULTNOMAH,1040  SE MORRISON ST,,PORTLAND,OR,97214,
LARRY,,BEAU,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
JULIE,,ALYSE,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
GINGER,,DONNA,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
GINGER,,ROBERT,MULTNOMAH,515 NW SALTZMAN RD  684,,PORTLAND,OR,97229,
ANTHONY,,TERESA,MULTNOMAH,111 W BURNSIDE ST,,PORTLAND,OR,97209,
MELANIE,,NADIYAO,MULTNOMAH,338 NW 6TH AVE,,PORTLAND,OR,97209,3611
ELLEN,,JON,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
JUSTIN,,MARY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
KATHERINE,,JOSEPH,MULTNOMAH,627 NW 18TH AVE,,PORTLAND,OR,97209,2221
ERIN,,TARA,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,1703
TIMOTHY,,MARIE,MULTNOMAH,1430 SW BROADWAY STE 200,,PORTLAND,OR,97201,3517
AMY,,GENEVIEVE,MULTNOMAH,122 SW 1ST AVE L5,,PORTLAND,OR,97204,
RICHARD,,DYLAN,MULTNOMAH,8694 N COLUMBIA BLVD APT 102,,PORTLAND,OR,97203,
CLINTON,,DAYLE,MULTNOMAH,650 IRVING ST,,PORTLAND,OR,97209,
TERRY,,VINCENT,MULTNOMAH,2000 NE 4ND AVE BOX 343,,PORTLAND,OR,97213,
JOHN,,ROBERT,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
JAMES,,PEKKA,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
ERIEL,,ZOE,MULTNOMAH,1132 SW 19TH AVE 612,,PORTLAND,OR,97205,
PAMELA,,MATTHEW,MULTNOMAH,1650 NW NAITO PKWY STE 250,,PORTLAND,OR,97209,
ROSE,,JEAN,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
CLAY,,KATHERINE,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,1703
ARDIJANA,,GABRIEL,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97209,
CAROLYN,,SANDRA,MULTNOMAH,1429 SW 14TH AVE 511,,PORTLAND,OR,97201,
AMY,,LINDA,MULTNOMAH,1630 SW CLAY ST #,,PORTLAND,OR,97201,
CONSTANCE,,SANDRA,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
ERNEST,,DAVID,MULTNOMAH,33 NW BROADWAY,,PORTLAND,OR,97209,
ALEX,,ARDYTH,MULTNOMAH,33 NW BROADWAY,,PORTLAND,OR,97209,
MICHAEL,,ROBERT,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
JEFFREY,,FRANK,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
AARON,,ALEXANDRA,MULTNOMAH,309 SW 4TH AVE APT 222,,PORTLAND,OR,97204,2319
PATRICK,,AMALIA,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
LEEANN,,JOHN,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
EDWARD,,KENNETH,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,1703
JAMES,,JOSEPH,MULTNOMAH,33 NW BROADWAY,,PORTLAND,OR,97209,3580
JASON,,JAMIE,MULTNOMAH,818 SW 3RD AVE PMB 521,,PORTLAND,OR,97204,
TASHA,,JAMES,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
JOHN,,ROGER,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
FREDERICK,,NATALIE,MULTNOMAH,333 NW 6TH AVE 39,,PORTLAND,OR,97209,3610
SHEILA,,LEE,MULTNOMAH,17 SW 2ND AVE 308,,PORTLAND,OR,97204,
SHAONLEE,,BRENDA,MULTNOMAH,16946 NE HALSEY ST,,PORTLAND,OR,97230,
JAMILAH,,LARISSA,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
HILARY,,DONALD,MULTNOMAH,310 NW FLANDERS ST 16,,PORTLAND,OR,97209,3941
ROBERT,,SARAH,MULTNOMAH,338 NW 6TH AVE,,PORTLAND,OR,97209,
YVONNE,,MURILLO,MULTNOMAH,13130 NW SKYLINE BLVD,,PORTLAND,OR,97231,
ROBERT,,AMELIA,MULTNOMAH,333 NW 4TH AVE 921,,PORTLAND,OR,97209,
JOSEPH,,ROY,MULTNOMAH,5331 SW MACADAM AVE 258-525,,PORTLAND,OR,97239,
DWAYNE,,MARIE,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
JAMES,,SARAH,MULTNOMAH,811 NE 195TH AVE,,PORTLAND,OR,97230,
MATTHEW,,JEAN,MULTNOMAH,111 W BURNSIDE ST,,PORTLAND,OR,97209,
MICHAEL,,SEAN,MULTNOMAH,506 NW 5TH AVE 314,,PORTLAND,OR,97209,3710
PATRICIA,,JON,MULTNOMAH,110 N FAILING ST,,PORTLAND,OR,97227,1406
MAUREEN,,RODNEY,MULTNOMAH,133 NW 6TH AVE,,PORTLAND,OR,97209,
ROBERT,,GABRIELA,MULTNOMAH,11124 NE HALSEY ST PMB 470,,PORTLAND,OR,97220,
MATTHEW,,MELVIN,MULTNOMAH,532 NW EVERETT ST 401,,PORTLAND,OR,97209,
KAROL,,BRENNAN,MULTNOMAH,6320 NE HALSEY ST,,PORTLAND,OR,97217,
WALTER,,BRETT,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
CORA,,ANDREW,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
EVA,,JOEL,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
MARIA,,ELIJAH,MULTNOMAH,1708 SW COLUMBIA ST,,PORTLAND,OR,97201,
LINDSEY DANIELLE,,LILLIAN,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
NICOLE,,LANDON,MULTNOMAH,25 NW 23RD PL STE 6 PMB 481,,PORTLAND,OR,97210,5580
DAVID,,HAROLD,MULTNOMAH,2318 NE MARTIN LUTHER KING BLVD,,PORTLAND,OR,97212,
CHRISTOPHER,,AMBER,MULTNOMAH,PO BOX 11977,,PORTLAND,OR,97211,
JAMES,,JOHN,MULTNOMAH,25 NW 23RD PL  STE6  PMB 337,,PORTLAND,OR,97210,
PHOEBE,,CHARLES,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
DONALD,,AUGUST,MULTNOMAH,16124 SE ALDER ST APT 25B,,PORTLAND,OR,97233,3274
DUANE,,LAURA,MULTNOMAH,650 NW IRVING,,PORTLAND,OR,97209,
THOMAS,,ROBERT,MULTNOMAH,314 SW 9TH AVE,,PORTLAND,OR,97205,
CHRISTOPHER,,KAREN,MULTNOMAH,2217 NE 11TH AVE,,PORTLAND,OR,97212,
KIAVASH,,DAVID,MULTNOMAH,1053 SE SHERMAN ST,,PORTLAND,OR,97214,
MERLE,,NANCY,MULTNOMAH,211 NW DAVIS ST,,PORTLAND,OR,97209,
MARILYN,,TOBIN,MULTNOMAH,1731 W BURNSIDE ST 30,,PORTLAND,OR,97209,2113
MATTAUS,,LINDA,MULTNOMAH,25 NW 23 PL STE 6 PMB 481,,PORTLAND,OR,97210,5580
KELLY,,KRISTI,MULTNOMAH,1435 NE 81ST AVE STE 100,,PORTLAND,OR,97213,
ALFRETA,,JAMES,MULTNOMAH,4534 SE 17TH AVE #88,,PORTLAND,OR,97202,
KENNAN,,LOUISE,MULTNOMAH,727 W BURNSIDE ST,,PORTLAND,OR,97209,
AMBER,,SCOTT,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,
PATRICK,,CLARK,MULTNOMAH,1329 SW 14TH AVE 409,,PORTLAND,OR,97201,
ANDREW,,PETER,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,1703
JULIA,,LAUREN,MULTNOMAH,1441 SW CLAY ST 109,,PORTLAND,OR,97201,
KATHY,,AMANDA,MULTNOMAH,475 NW GLISAN ST,,PORTLAND,OR,97209,
CONSUELLA,,TYLER,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
CLARISSA,,BRETT,MULTNOMAH,111 W BURNSIDE ST,,PORTLAND,OR,97209,
THOMAS,,ERIK,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97204,
LINDA,,AVERY,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
BECKY,,DAVID,MULTNOMAH,605 NW IRVING ST,,PORTLAND,OR,97209,
JESSIE,,ASHLEY,MULTNOMAH,2921 NW NICOLAI ST,,PORTLAND,OR,97210,
DANICA,,SHERRIE,MULTNOMAH,314 SW 9TH AVE,,PORTLAND,OR,97205,2802
BRYAN,,KENT,MULTNOMAH,5855 NE 19TH AVE,,PORTLAND,OR,97211,
JESSE,,JAMES,MULTNOMAH,MSC 1450,0615 SW PALATINE HILL RD,PORTLAND,OR,97219,
THOMAS,,STEPHANIE,MULTNOMAH,1415 SW ALDER ST 209,,PORTLAND,OR,97205,
MOHAMMAD,,ARNOLDINE,MULTNOMAH,506 NW 5TH AVE 322,,PORTLAND,OR,97209,3710
LARRY,,CAROL,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
ROBERT,,ERIKA,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
MICHELLE,,MARY,MULTNOMAH,16 SW 3RD AVE 17,,PORTLAND,OR,97204,2721
S,,JENNIFER,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
RICHARD,,ELIZABETH,MULTNOMAH,GENERAL DELIVERY,,PORTLAND,OR,97205,
MAKENNA,,CHRISTINA,MULTNOMAH,PMB 403 ,7327 SW BARNES RD,PORTLAND,OR,97225,6119
JAIRO,,BARBARA,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
RICHARD,,JORDAN,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
BETTY,,CATHERINE,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,1703
JOHN,,GREGORY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
AMY,,ROBERT,MULTNOMAH,16 SW 3RD AVE 19,,PORTLAND,OR,97204,2721
CALVIN,,HEIDI,MULTNOMAH,322 SW 11TH AVE 409,,PORTLAND,OR,97205,2601
STEPHEN,,KAY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
HARRIET,,ROBERTA,MULTNOMAH,111 W BURNSIDE ST,,PORTLAND,OR,97209,
ROSS,,BERNADETTE,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
JESSIE,,CLINTON,MULTNOMAH,831 SW VISTA AVE 301,,PORTLAND,OR,97205,
CHELSEA,,JOHN,MULTNOMAH,14843 NW KYLE PLACE,,PORTLAND,OR,97229,
SIDNEY,,SEAN,MULTNOMAH,1717 W BURNSIDE ST 24,,PORTLAND,OR,97209,
JOAN,,FRED,MULTNOMAH,2020 SW SALMON ST 305,,PORTLAND,OR,97205,
RACHEL,,RAUL,MULTNOMAH,211 NW DAVIS ST,,PORTLAND,OR,97209,
BG,,LEO,MULTNOMAH,4233 N ALASKA ST APT 84,,PORTLAND,OR,97203,2052
JOSHUA,,ASHLEY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
LINDSEY,,JOHN,MULTNOMAH,1040 SE MORRISON ST,,PORTLAND,OR,97214,
ASHA,,JOSHUA,MULTNOMAH,33 NW BROADWAY,,PORTLAND,OR,97209,
BETTY,,MARK,MULTNOMAH,322 SW 11TH AVE 301B,,PORTLAND,OR,97205,
PATRICIA,,MAUREEN,MULTNOMAH,33 NW BROADWAY,,PORTLAND,OR,97209,3580
KAY,,DANIEL,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,
ALBERT,,JACOB,MULTNOMAH,1132 SW 13TH AVE,,PORTLAND,OR,97205,
ADRIENNE,,COLIN,MULTNOMAH,322 SW 11TH AVE 425,,PORTLAND,OR,97205,2601
CURTIS,,PHOEBE,MULTNOMAH,722 NW WESTOVER CIR,,PORTLAND,OR,97210,
WANTHANA,,ANNA,MULTNOMAH,314 SW 9TH AVE,,PORTLAND,OR,97205,2802
GREGORY,,WALEESKA,MULTNOMAH,727 W BURNSIDE ST,,PORTLAND,OR,97209,
JOHN,,JOHN,MULTNOMAH,627 NW 18TH BOX L-5,,PORTLAND,OR,97209,
BILLY,,THOMAS,MULTNOMAH,1000 SW VISTA AVE 1019,,PORTLAND,OR,97205,
AMANDA,,RICHARD,MULTNOMAH,506 NW 5TH AVE 318,,PORTLAND,OR,97209,3710
ANTON,,JEFFERY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
DENISE,,KATHLEEN,MULTNOMAH,11321 NE MORRIS ST,,PORTLAND,OR,97220,1716
LORI,,SAM,MULTNOMAH,16 SW 3RD AVE 5,,PORTLAND,OR,97204,2721
CHRISTOPHER,,MOLLY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
RONALD,,ROBERT,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
FATEMEH,,ADRIENNE,MULTNOMAH,222 NW COUCH ST,,PORTLAND,OR,97209,3919
DANIEL,,BRENT,MULTNOMAH,727 W BURNSIDE ST,,PORTLAND,OR,97209,
DAISY,,FRED,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
KATHERINE,,THELMA,MULTNOMAH,1815 N WILLIS BLVD,,PORTLAND,OR,97217,
KIMBERLY,,CHARLES,MULTNOMAH,PO BOX 28295,,PORTLAND,OR,97220,
MELODY,,CLARISSA,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
CLARISSA,,BEVERLY,MULTNOMAH,506 NW 5TH AVE 316,,PORTLAND,OR,97209,3710
GARY,,ANGELINA,MULTNOMAH,2323 SW PARK PL 905,,PORTLAND,OR,97205,
MARY,,TYLER,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
KEVIN,,BENJAMIN,MULTNOMAH,1435 NE 81ST AVE,,PORTLAND,OR,97213,
KEVIN,,MELODY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
DOW,,STEPHEN,MULTNOMAH,333 NW 6TH AVE 45,,PORTLAND,OR,97209,3610
MARCIA,,ALLEN,MULTNOMAH,506 NW 5TH AVE 323,,PORTLAND,OR,97209,3710
QUILLAN,,KAITLIN,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
JENNIFER,,ARDIJANA,MULTNOMAH,122 SW 1ST AVE 4,,PORTLAND,OR,97204,3531
DAVID,,ANTHONY,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,1272
MICHELLE,,RUDY,MULTNOMAH,PO BOX 3007,,PORTLAND,OR,97209,
SUNNY,,DOMINIQUE,MULTNOMAH,522 SW 13TH AVE,,PORTLAND,OR,97205,
STEVEN,,DANIEL,MULTNOMAH,650 NW IRVING ST,,PORTLAND,OR,97209,
MARK,,HARVEY,MULTNOMAH,314 SW 9TH AVE,,PORTLAND,OR,97205,
JOHN,,AMANDA,MULTNOMAH,111 W BURNSIDE ST,,PORTLAND,OR,97209,
